module,intent,question,answer,combined
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"Viewing and modifying deductions allows the municipality to monitor and adjust their deduction policies, ensuring compliance with statutory requirements and internal policies.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying deductions allows the municipality to monitor and adjust their deduction policies, ensuring compliance with statutory requirements and internal policies."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,Viewing and modifying contractor information enables the municipality to accurately track payments and maintain a record of their contractual obligations.,[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying contractor information enables the municipality to accurately track payments and maintain a record of their contractual obligations.
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,Viewing and modifying supplier information allows the municipality to accurately track payments and maintain a record of their procurement activities.,[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying supplier information allows the municipality to accurately track payments and maintain a record of their procurement activities.
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,Viewing and modifying fund information enables the municipality to accurately track financial transactions and maintain a record of their financial resources.,[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying fund information enables the municipality to accurately track financial transactions and maintain a record of their financial resources.
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,Viewing and modifying scheme and sub-scheme information allows the municipality to accurately track financial transactions and maintain a record of their programmatic activities.,[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying scheme and sub-scheme information allows the municipality to accurately track financial transactions and maintain a record of their programmatic activities.
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,Viewing and modifying function information enables the municipality to accurately track financial transactions and maintain a record of their organizational activities.,[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying function information enables the municipality to accurately track financial transactions and maintain a record of their organizational activities.
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"Viewing and modifying subledger configuration allows the municipality to customize the system's settings, ensuring that it accurately reflects their financial management practices.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying subledger configuration allows the municipality to customize the system's settings, ensuring that it accurately reflects their financial management practices."
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,Viewing and modifying bank information enables the municipality to accurately track financial transactions and maintain a record of their banking activities.,[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying bank information enables the municipality to accurately track financial transactions and maintain a record of their banking activities.
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,Viewing and modifying purchase order information allows the municipality to accurately track procurement activities and maintain a record of their contractual obligations.,[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying purchase order information allows the municipality to accurately track procurement activities and maintain a record of their contractual obligations.
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,Viewing and modifying work order information enables the municipality to accurately track project activities and maintain a record of their operational activities.,[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Viewing and modifying work order information enables the municipality to accurately track project activities and maintain a record of their operational activities.
NMAM - Compliant Municipal Finance and Accounting,answer,validation_rule,"Transactions enable the municipality to record financial events, such as payments and receipts, and maintain a record of their financial activities.","[NMAM - Compliant Municipal Finance and Accounting] Q: validation_rule A: Transactions enable the municipality to record financial events, such as payments and receipts, and maintain a record of their financial activities."
E-Waste Management,answer,validation_rule,Citizen must have successfully registered and authenticated to access their personalized profile.,[E-Waste Management] Q: validation_rule A: Citizen must have successfully registered and authenticated to access their personalized profile.
E-Waste Management,answer,process,The primary purpose of the E-Waste Collection Request feature is to enable citizens to request the collection of e-waste from their households.,[E-Waste Management] Q: process A: The primary purpose of the E-Waste Collection Request feature is to enable citizens to request the collection of e-waste from their households.
E-Waste Management,answer,document_requirement,"Citizens can add the following products to their E-Waste Collection Request: AC, CPU, VGA Cable, Wires, Monitor, Keyboard, I Phone, Mouse, Printer, Power Cable, Scanner, etc.","[E-Waste Management] Q: document_requirement A: Citizens can add the following products to their E-Waste Collection Request: AC, CPU, VGA Cable, Wires, Monitor, Keyboard, I Phone, Mouse, Printer, Power Cable, Scanner, etc."
E-Waste Management,answer,comparison,"The quantity of products provided by the citizen affects the price of the E-Waste Collection Request, which will change accordingly.","[E-Waste Management] Q: comparison A: The quantity of products provided by the citizen affects the price of the E-Waste Collection Request, which will change accordingly."
E-Waste Management,answer,process,The price of the E-Waste Collection Request is calculated automatically based on the product selection.,[E-Waste Management] Q: process A: The price of the E-Waste Collection Request is calculated automatically based on the product selection.
E-Waste Management,answer,document_requirement,There is no maximum limit on the number of products that can be added to a single E-Waste Collection Request.,[E-Waste Management] Q: document_requirement A: There is no maximum limit on the number of products that can be added to a single E-Waste Collection Request.
E-Waste Management,answer,process,"Citizens can remove products from their E-Waste Collection Request by selecting the ""Remove"" option.","[E-Waste Management] Q: process A: Citizens can remove products from their E-Waste Collection Request by selecting the ""Remove"" option."
E-Waste Management,answer,document_requirement,"Citizens must provide the following information to complete the Owners Information Form: Full Name, Contact Number, Locality, Vendor, and Address details.","[E-Waste Management] Q: document_requirement A: Citizens must provide the following information to complete the Owners Information Form: Full Name, Contact Number, Locality, Vendor, and Address details."
E-Waste Management,answer,document_requirement,The Owners Full Name field must be filled in.,[E-Waste Management] Q: document_requirement A: The Owners Full Name field must be filled in.
E-Waste Management,answer,document_requirement,The Owners Contact Number field must be a valid mobile number.,[E-Waste Management] Q: document_requirement A: The Owners Contact Number field must be a valid mobile number.
E-Waste Management,answer,document_requirement,The Locality field must be filled in.,[E-Waste Management] Q: document_requirement A: The Locality field must be filled in.
E-Waste Management,answer,document_requirement,Additional address details are optional.,[E-Waste Management] Q: document_requirement A: Additional address details are optional.
E-Waste Management,answer,process,Citizens must choose a listed/empanelled vendor from the available options.,[E-Waste Management] Q: process A: Citizens must choose a listed/empanelled vendor from the available options.
E-Waste Management,answer,process,"A ""Request ID"" or ""Application Number"" will be generated after submitting the Owners Information Form.","[E-Waste Management] Q: process A: A ""Request ID"" or ""Application Number"" will be generated after submitting the Owners Information Form."
E-Waste Management,answer,document_requirement,"The Request List page displays the following information: Request qID/Application Number, Quantity, Amount, Date of Creation, and Status.","[E-Waste Management] Q: document_requirement A: The Request List page displays the following information: Request qID/Application Number, Quantity, Amount, Date of Creation, and Status."
E-Waste Management,answer,process,A pop-up window will appear with additional details.,[E-Waste Management] Q: process A: A pop-up window will appear with additional details.
E-Waste Management,answer,process,The Vendor Login feature allows vendors to check orders received from citizens or departments.,[E-Waste Management] Q: process A: The Vendor Login feature allows vendors to check orders received from citizens or departments.
E-Waste Management,answer,document_requirement,"The Orders page displays the following information: Request ID/Application ID, Quantity, Total Amount, Date of creation, Status, and an Action button.","[E-Waste Management] Q: document_requirement A: The Orders page displays the following information: Request ID/Application ID, Quantity, Total Amount, Date of creation, Status, and an Action button."
E-Waste Management,answer,document_requirement,"The following action buttons are available for vendors: View more information, Verify Product, and Send Pick-up Alert.","[E-Waste Management] Q: document_requirement A: The following action buttons are available for vendors: View more information, Verify Product, and Send Pick-up Alert."
E-Waste Management,answer,document_requirement,The View More Information pop-up screen displays the product details list and contact information with the Request ID or Application Number.,[E-Waste Management] Q: document_requirement A: The View More Information pop-up screen displays the product details list and contact information with the Request ID or Application Number.
