module,content,type,combined
Street Vendors Management,To provide a digital platform for street vendors to apply for vending certificates.,Paragraph,[Street Vendors Management] To provide a digital platform for street vendors to apply for vending certificates.
Street Vendors Management,To enable efficient processing and verification of applications by ULB officials.,Paragraph,[Street Vendors Management] To enable efficient processing and verification of applications by ULB officials.
Street Vendors Management,To ensure transparent and rule-based allocation of vending zones.,Paragraph,[Street Vendors Management] To ensure transparent and rule-based allocation of vending zones.
Street Vendors Management,To promote organized street vending and urban space management.,Paragraph,[Street Vendors Management] To promote organized street vending and urban space management.
Street Vendors Management,"To support end-to-end lifecycle management including application, approval, payment, and renewal.",Paragraph,"[Street Vendors Management] To support end-to-end lifecycle management including application, approval, payment, and renewal."
Street Vendors Management,To reduce manual intervention and improve service delivery efficiency.,Paragraph,[Street Vendors Management] To reduce manual intervention and improve service delivery efficiency.
Street Vendors Management,To maintain compliance with government regulations for street vendors.,Paragraph,[Street Vendors Management] To maintain compliance with government regulations for street vendors.
Street Vendors Management,Submit a new street vending application.,Paragraph,[Street Vendors Management] Submit a new street vending application.
Street Vendors Management,Upload mandatory documents and location details,Paragraph,[Street Vendors Management] Upload mandatory documents and location details
Street Vendors Management,Counter employee can apply on vendor’s behalf,Paragraph,[Street Vendors Management] Counter employee can apply on vendor’s behalf
Street Vendors Management,Applications can be sent back to the vendor for corrections,Paragraph,[Street Vendors Management] Applications can be sent back to the vendor for corrections
Street Vendors Management,Field inspection workflow,Paragraph,[Street Vendors Management] Field inspection workflow
Street Vendors Management,Application forwarding between counter employee and field inspector,Paragraph,[Street Vendors Management] Application forwarding between counter employee and field inspector
Street Vendors Management,Both employees can update vending zone during any stage,Paragraph,[Street Vendors Management] Both employees can update vending zone during any stage
Street Vendors Management,Payment processing for approved applications,Paragraph,[Street Vendors Management] Payment processing for approved applications
Street Vendors Management,Download receipts and vending certificate,Paragraph,[Street Vendors Management] Download receipts and vending certificate
Street Vendors Management,Renewal option of street vending license,Paragraph,[Street Vendors Management] Renewal option of street vending license
Street Vendors Management,Role-based access for employees,Paragraph,[Street Vendors Management] Role-based access for employees
Street Vendors Management,Functional Requirements:,Paragraph,[Street Vendors Management] Functional Requirements:
Street Vendors Management,S.No. | Feature Category | Feature Details,Table,[Street Vendors Management] S.No. | Feature Category | Feature Details
Street Vendors Management,SV1 | Registration & Authentication | Vendor can register with mobile number and OTP,Table,[Street Vendors Management] SV1 | Registration & Authentication | Vendor can register with mobile number and OTP
Street Vendors Management,SV2 | Login | OTP-based login for vendors,Table,[Street Vendors Management] SV2 | Login | OTP-based login for vendors
Street Vendors Management,SV3 | Profile Management | Vendor can create and update profile details,Table,[Street Vendors Management] SV3 | Profile Management | Vendor can create and update profile details
Street Vendors Management,SV4 | New Application | Vendor can apply for a new vending certificate,Table,[Street Vendors Management] SV4 | New Application | Vendor can apply for a new vending certificate
Street Vendors Management,"SV5 | Application Form | Enter personal, business, and vending details",Table,"[Street Vendors Management] SV5 | Application Form | Enter personal, business, and vending details"
Street Vendors Management,SV6 | Location Details | Provide vending location (zone/area selection),Table,[Street Vendors Management] SV6 | Location Details | Provide vending location (zone/area selection)
Street Vendors Management,"SV7 | Document Upload | Upload required documents (ID proof, photo, etc.)",Table,"[Street Vendors Management] SV7 | Document Upload | Upload required documents (ID proof, photo, etc.)"
Street Vendors Management,SV8 | Submit Application | Submit completed application,Table,[Street Vendors Management] SV8 | Submit Application | Submit completed application
Street Vendors Management,SV9 | Application ID | System generates Application/Request ID,Table,[Street Vendors Management] SV9 | Application ID | System generates Application/Request ID
Street Vendors Management,SV10 | Track Status | Track application status in real-time,Table,[Street Vendors Management] SV10 | Track Status | Track application status in real-time
Street Vendors Management,SV11 | Correction Handling | Modify and resubmit application if returned,Table,[Street Vendors Management] SV11 | Correction Handling | Modify and resubmit application if returned
Street Vendors Management,SV12 | Notifications | Receive alerts on status updates,Table,[Street Vendors Management] SV12 | Notifications | Receive alerts on status updates
Street Vendors Management,SV13 | Payment | Make online payment after approval,Table,[Street Vendors Management] SV13 | Payment | Make online payment after approval
Street Vendors Management,SV14 | Receipt Download | Download payment receipt,Table,[Street Vendors Management] SV14 | Receipt Download | Download payment receipt
Street Vendors Management,SV15 | Certificate Download | Download approved vending certificate,Table,[Street Vendors Management] SV15 | Certificate Download | Download approved vending certificate
Street Vendors Management,SV16 | Renewal Application | Apply for renewal after 1 year,Table,[Street Vendors Management] SV16 | Renewal Application | Apply for renewal after 1 year
Street Vendors Management,SV17 | View Application History | View past and current applications,Table,[Street Vendors Management] SV17 | View Application History | View past and current applications
Street Vendors Management,SV18 | Login | Role-based login for employees (Counter/Inspector/Admin),Table,[Street Vendors Management] SV18 | Login | Role-based login for employees (Counter/Inspector/Admin)
Street Vendors Management,SV19 | Dashboard | View list of applications assigned,Table,[Street Vendors Management] SV19 | Dashboard | View list of applications assigned
Street Vendors Management,SV20 | Application Submission | Counter employee can submit application on behalf of vendor,Table,[Street Vendors Management] SV20 | Application Submission | Counter employee can submit application on behalf of vendor
Street Vendors Management,SV21 | Application Review | Review submitted applications,Table,[Street Vendors Management] SV21 | Application Review | Review submitted applications
Street Vendors Management,SV22 | Verification | Verify documents and application details,Table,[Street Vendors Management] SV22 | Verification | Verify documents and application details
Street Vendors Management,SV23 | Send Back for Correction | Return application to vendor for corrections,Table,[Street Vendors Management] SV23 | Send Back for Correction | Return application to vendor for corrections
Street Vendors Management,SV24 | Forward Application | Forward application to field inspector,Table,[Street Vendors Management] SV24 | Forward Application | Forward application to field inspector
Street Vendors Management,SV25 | Field Inspection | Inspector performs on-ground verification,Table,[Street Vendors Management] SV25 | Field Inspection | Inspector performs on-ground verification
Street Vendors Management,SV26 | Inspection Report | Upload inspection findings,Table,[Street Vendors Management] SV26 | Inspection Report | Upload inspection findings
Street Vendors Management,SV27 | Zone Allocation | Assign/update vending zone,Table,[Street Vendors Management] SV27 | Zone Allocation | Assign/update vending zone
Street Vendors Management,SV28 | Status Update | Update application status (Pending/Approved/Rejected),Table,[Street Vendors Management] SV28 | Status Update | Update application status (Pending/Approved/Rejected)
Street Vendors Management,SV29 | Approval Process | Approve or reject application,Table,[Street Vendors Management] SV29 | Approval Process | Approve or reject application
Street Vendors Management,SV30 | Payment Validation | Verify payment status,Table,[Street Vendors Management] SV30 | Payment Validation | Verify payment status
Street Vendors Management,SV31 | Certificate Issuance | Generate vending certificate,Table,[Street Vendors Management] SV31 | Certificate Issuance | Generate vending certificate
Street Vendors Management,SV32 | Renewal Processing | Handle renewal applications,Table,[Street Vendors Management] SV32 | Renewal Processing | Handle renewal applications
Street Vendors Management,SV33 | Notifications | Send alerts to vendors,Table,[Street Vendors Management] SV33 | Notifications | Send alerts to vendors
Street Vendors Management,SV34 | Reports & MIS | Generate reports for monitoring,Table,[Street Vendors Management] SV34 | Reports & MIS | Generate reports for monitoring
Street Vendors Management,"SV35 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins",Table,"[Street Vendors Management] SV35 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins"
Street Vendors Management,"SV36 | Role-Based Access | Approval workflow for assessments, renewal, and payments",Table,"[Street Vendors Management] SV36 | Role-Based Access | Approval workflow for assessments, renewal, and payments"
Street Vendors Management,"SV37 | Workflow Management | Configurable workflow for assessment, renewal, approval, and payment processing",Table,"[Street Vendors Management] SV37 | Workflow Management | Configurable workflow for assessment, renewal, approval, and payment processing"
Street Vendors Management,SV38 | Notifications & Alerts | Reminder notifications for unpaid or partially paid fees and Status of the application,Table,[Street Vendors Management] SV38 | Notifications & Alerts | Reminder notifications for unpaid or partially paid fees and Status of the application
Miscellaneous Collections,Miscellaneous Collections,Paragraph,[Miscellaneous Collections] Miscellaneous Collections
Miscellaneous Collections,"The Miscellaneous Collections module is designed to facilitate the ULBs process of miscellaneous types of payments. Miscellaneous payments may include parking fees, advertising fees, rent, challans, etc. The module objective is to process and record payment collections on account of miscellaneous heads within the ULBs. This makes it easy to track payment receipts and generate reports for administrative purposes.",Paragraph,"[Miscellaneous Collections] The Miscellaneous Collections module is designed to facilitate the ULBs process of miscellaneous types of payments. Miscellaneous payments may include parking fees, advertising fees, rent, challans, etc. The module objective is to process and record payment collections on account of miscellaneous heads within the ULBs. This makes it easy to track payment receipts and generate reports for administrative purposes."
Miscellaneous Collections,Enable end-to-end digital collection lifecycle from challan generation to reconciliation,Paragraph,[Miscellaneous Collections] Enable end-to-end digital collection lifecycle from challan generation to reconciliation
Miscellaneous Collections,Ensure transparency and traceability of all miscellaneous revenue streams across ULBs,Paragraph,[Miscellaneous Collections] Ensure transparency and traceability of all miscellaneous revenue streams across ULBs
Miscellaneous Collections,Support multi-channel payments with real-time status updates,Paragraph,[Miscellaneous Collections] Support multi-channel payments with real-time status updates
Miscellaneous Collections,Provide audit-ready records for compliance and governance,Paragraph,[Miscellaneous Collections] Provide audit-ready records for compliance and governance
Miscellaneous Collections,Enable data-driven decision-making through advanced analytics and dashboards,Paragraph,[Miscellaneous Collections] Enable data-driven decision-making through advanced analytics and dashboards
Miscellaneous Collections,"Ensure interoperability with other UPYOG modules (Property Tax, Trade License, etc.)",Paragraph,"[Miscellaneous Collections] Ensure interoperability with other UPYOG modules (Property Tax, Trade License, etc.)"
Miscellaneous Collections,Enhance citizen convenience through simplified access and notifications,Paragraph,[Miscellaneous Collections] Enhance citizen convenience through simplified access and notifications
Miscellaneous Collections,Strengthen revenue leakage prevention via validation and tracking mechanisms,Paragraph,[Miscellaneous Collections] Strengthen revenue leakage prevention via validation and tracking mechanisms
Miscellaneous Collections,Capture details of payment collection,Paragraph,[Miscellaneous Collections] Capture details of payment collection
Miscellaneous Collections,Generate and print the collection receipt,Paragraph,[Miscellaneous Collections] Generate and print the collection receipt
Miscellaneous Collections,Access to dashboard analytics,Paragraph,[Miscellaneous Collections] Access to dashboard analytics
Miscellaneous Collections,Generate reports for administration,Paragraph,[Miscellaneous Collections] Generate reports for administration
Miscellaneous Collections,Functional Requirements:,Paragraph,[Miscellaneous Collections] Functional Requirements:
Miscellaneous Collections,S.No. | Feature Category | Feature Details,Table,[Miscellaneous Collections] S.No. | Feature Category | Feature Details
Miscellaneous Collections,MC1 | Registration & Login Mechanism | Provision for Language Selection during first time registration via Mobile/Web App,Table,[Miscellaneous Collections] MC1 | Registration & Login Mechanism | Provision for Language Selection during first time registration via Mobile/Web App
Miscellaneous Collections,MC2 | Registration & Login Mechanism | OTP Based Login for Citizen via Web App,Table,[Miscellaneous Collections] MC2 | Registration & Login Mechanism | OTP Based Login for Citizen via Web App
Miscellaneous Collections,MC3 | Registration & Login Mechanism | Provision for language selection during first time registration of Employee via Web App,Table,[Miscellaneous Collections] MC3 | Registration & Login Mechanism | Provision for language selection during first time registration of Employee via Web App
Miscellaneous Collections,MC4 | Registration & Login Mechanism | OTP Based Login for Employee via Web/Mobile App,Table,[Miscellaneous Collections] MC4 | Registration & Login Mechanism | OTP Based Login for Employee via Web/Mobile App
Miscellaneous Collections,MC5 | Generate Challan | Employee can generate new challan for all miscellaneous services,Table,[Miscellaneous Collections] MC5 | Generate Challan | Employee can generate new challan for all miscellaneous services
Miscellaneous Collections,"MC6 | Generate Challan | Capture Address, Owner Info. of the service",Table,"[Miscellaneous Collections] MC6 | Generate Challan | Capture Address, Owner Info. of the service"
Miscellaneous Collections,MC7 | Searching a Challan | Citizen/CSC : Search Challan,Table,[Miscellaneous Collections] MC7 | Searching a Challan | Citizen/CSC : Search Challan
Miscellaneous Collections,MC8 | Searching a Challan | Citizen/CSC : View the Searched Challan,Table,[Miscellaneous Collections] MC8 | Searching a Challan | Citizen/CSC : View the Searched Challan
Miscellaneous Collections,MC9 | Searching a Challan | CSC- Edit Challan Details,Table,[Miscellaneous Collections] MC9 | Searching a Challan | CSC- Edit Challan Details
Miscellaneous Collections,MC10 | Searching a Challan | CSC- Cancel Challan,Table,[Miscellaneous Collections] MC10 | Searching a Challan | CSC- Cancel Challan
Miscellaneous Collections,MC11 | Searching a Challan | Citizen/CSC : Download Receipts (Citizen/Employee),Table,[Miscellaneous Collections] MC11 | Searching a Challan | Citizen/CSC : Download Receipts (Citizen/Employee)
Miscellaneous Collections,"MC12 | Payment Collection | Payment of TAX (Online,Cheque,Cash,DD)",Table,"[Miscellaneous Collections] MC12 | Payment Collection | Payment of TAX (Online,Cheque,Cash,DD)"
Miscellaneous Collections,"MC13 | Payment Collection | Payment of TAX (Online,Cheque,Cash,DD) : Partial Payment",Table,"[Miscellaneous Collections] MC13 | Payment Collection | Payment of TAX (Online,Cheque,Cash,DD) : Partial Payment"
Miscellaneous Collections,"MC14 | Dashboard & Reports | State Dashboard : View Reports for Total Collections, Payment Distribution",Table,"[Miscellaneous Collections] MC14 | Dashboard & Reports | State Dashboard : View Reports for Total Collections, Payment Distribution"
Miscellaneous Collections,"MC15 | Dashboard & Reports | State Dashboard : PT Collection Timeline (Monthly,Weekly)",Table,"[Miscellaneous Collections] MC15 | Dashboard & Reports | State Dashboard : PT Collection Timeline (Monthly,Weekly)"
Miscellaneous Collections,MC16 | Dashboard & Reports | State Dashboard : ULB Wise (Collection),Table,[Miscellaneous Collections] MC16 | Dashboard & Reports | State Dashboard : ULB Wise (Collection)
Miscellaneous Collections,MC17 | Dashboard & Reports | Cancelled Receipt Register Report,Table,[Miscellaneous Collections] MC17 | Dashboard & Reports | Cancelled Receipt Register Report
Miscellaneous Collections,MC18 | Dashboard & Reports | Collection Report (ULB/Date Wise),Table,[Miscellaneous Collections] MC18 | Dashboard & Reports | Collection Report (ULB/Date Wise)
Miscellaneous Collections,MC19 | Miscellaneous Features | Notifications : SMS Notifications with links to download bills and receipts,Table,[Miscellaneous Collections] MC19 | Miscellaneous Features | Notifications : SMS Notifications with links to download bills and receipts
Miscellaneous Collections,MC20 | Miscellaneous Features | State Masters : Service Category Ontology,Table,[Miscellaneous Collections] MC20 | Miscellaneous Features | State Masters : Service Category Ontology
Miscellaneous Collections,MC21 | Miscellaneous Features | ULB Masters : Employee Data Mapping,Table,[Miscellaneous Collections] MC21 | Miscellaneous Features | ULB Masters : Employee Data Mapping
Miscellaneous Collections,MC22 | Miscellaneous Features | ULB Masters : Boundary Data Mapping,Table,[Miscellaneous Collections] MC22 | Miscellaneous Features | ULB Masters : Boundary Data Mapping
Miscellaneous Collections,MC23 | Miscellaneous Features | Payment of tax online or offline.,Table,[Miscellaneous Collections] MC23 | Miscellaneous Features | Payment of tax online or offline.
Miscellaneous Collections,MC24 | Miscellaneous Features | Receipt cancellation,Table,[Miscellaneous Collections] MC24 | Miscellaneous Features | Receipt cancellation
Miscellaneous Collections,"MC25 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins",Table,"[Miscellaneous Collections] MC25 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins"
Miscellaneous Collections,"MC26 | Role-Based Access | Approval workflow for assessments, mutations, and exemptions",Table,"[Miscellaneous Collections] MC26 | Role-Based Access | Approval workflow for assessments, mutations, and exemptions"
Miscellaneous Collections,"MC27 | Workflow Management | Configurable workflow for assessment, approval, and payment processing",Table,"[Miscellaneous Collections] MC27 | Workflow Management | Configurable workflow for assessment, approval, and payment processing"
Miscellaneous Collections,MC28 | Notifications & Alerts | Reminder notifications for the status of challan and for payment related status.,Table,[Miscellaneous Collections] MC28 | Notifications & Alerts | Reminder notifications for the status of challan and for payment related status.
Desludging Service,"The Desludging Service module allows citizens to create applications for desludging, configure multiple trips and pay the fees for the service delivery online. The module makes it easier to operate and manage a desludging service. It eliminates the current manual process by streamlining it and capturing information end-to-end ensuring waste pick up and its disposal at the correct treatment plant. This ensures a better citizen service experience with the Urban Local Body (ULB) while promoting a cleaner/healthier environment.",Paragraph,"[Desludging Service] The Desludging Service module allows citizens to create applications for desludging, configure multiple trips and pay the fees for the service delivery online. The module makes it easier to operate and manage a desludging service. It eliminates the current manual process by streamlining it and capturing information end-to-end ensuring waste pick up and its disposal at the correct treatment plant. This ensures a better citizen service experience with the Urban Local Body (ULB) while promoting a cleaner/healthier environment."
Desludging Service,To digitize and streamline the desludging service lifecycle from request to disposal.,Paragraph,[Desludging Service] To digitize and streamline the desludging service lifecycle from request to disposal.
Desludging Service,"To ensure safe collection, transportation, and disposal of faecal sludge at authorized FSTP/STP facilities.",Paragraph,"[Desludging Service] To ensure safe collection, transportation, and disposal of faecal sludge at authorized FSTP/STP facilities."
Desludging Service,"To provide a seamless, transparent, and user-friendly interface for citizens and Urban Local Bodies (ULBs).",Paragraph,"[Desludging Service] To provide a seamless, transparent, and user-friendly interface for citizens and Urban Local Bodies (ULBs)."
Desludging Service,"To enable efficient monitoring, tracking, and reporting of desludging operations.",Paragraph,"[Desludging Service] To enable efficient monitoring, tracking, and reporting of desludging operations."
Desludging Service,To improve environmental sanitation and promote public health through proper waste management.,Paragraph,[Desludging Service] To improve environmental sanitation and promote public health through proper waste management.
Desludging Service,To reduce manual intervention and enhance accountability via role-based workflows.,Paragraph,[Desludging Service] To reduce manual intervention and enhance accountability via role-based workflows.
Desludging Service,To support data-driven decision-making through dashboards and analytics.,Paragraph,[Desludging Service] To support data-driven decision-making through dashboards and analytics.
Desludging Service,To enable urban-rural convergence for desludging services.,Paragraph,[Desludging Service] To enable urban-rural convergence for desludging services.
Desludging Service,Role-based configurable workflows for approval and rejection process.,Paragraph,[Desludging Service] Role-based configurable workflows for approval and rejection process.
Desludging Service,"Masters configurations for the employees, desludging operators, city boundary details, users, user role, department designations and city details.",Paragraph,"[Desludging Service] Masters configurations for the employees, desludging operators, city boundary details, users, user role, department designations and city details."
Desludging Service,Notification component,Paragraph,[Desludging Service] Notification component
Desludging Service,"Online application submission by Citizen, ULB Official",Paragraph,"[Desludging Service] Online application submission by Citizen, ULB Official"
Desludging Service,Schedule the desludging operation,Paragraph,[Desludging Service] Schedule the desludging operation
Desludging Service,Updating the vehicle entry in the FSTP/STP plant,Paragraph,[Desludging Service] Updating the vehicle entry in the FSTP/STP plant
Desludging Service,Reporting and Dashboards,Paragraph,[Desludging Service] Reporting and Dashboards
Desludging Service,Functional Requirements:,Paragraph,[Desludging Service] Functional Requirements:
Desludging Service,S.No. | List of Functionalities | Corresponding Features,Table,[Desludging Service] S.No. | List of Functionalities | Corresponding Features
Desludging Service,1 | Portal | Provision for all the citizens of all the States to make desludging request online,Table,[Desludging Service] 1 | Portal | Provision for all the citizens of all the States to make desludging request online
Desludging Service,"2 | Portal | Provision for all the States/UTs/Cities to enter the following data using a data entry form at the backend: a) Admin Boundaries (Zone, Block, Localities/Villages) b) Plant Unique ID c) User Roles Mapping d) Safai Mitras e) Vendors (PSSOs) f) Municipal owned Equipment (MOE) g) Vehicles h) Drivers i) FSTPs/STPs",Table,"[Desludging Service] 2 | Portal | Provision for all the States/UTs/Cities to enter the following data using a data entry form at the backend: a) Admin Boundaries (Zone, Block, Localities/Villages) b) Plant Unique ID c) User Roles Mapping d) Safai Mitras e) Vendors (PSSOs) f) Municipal owned Equipment (MOE) g) Vehicles h) Drivers i) FSTPs/STPs"
Desludging Service,"3 | Registration, Login, Creation of User Profile | Provision for Language Selection during first time registration via Web portal",Table,"[Desludging Service] 3 | Registration, Login, Creation of User Profile | Provision for Language Selection during first time registration via Web portal"
Desludging Service,"4 | Registration, Login, Creation of User Profile | OTP Based Login for Citizen/ Counter Employee via Web portal",Table,"[Desludging Service] 4 | Registration, Login, Creation of User Profile | OTP Based Login for Citizen/ Counter Employee via Web portal"
Desludging Service,"5 | Registration, Login, Creation of User Profile | Login Credentials for various hierarchy of employees.",Table,"[Desludging Service] 5 | Registration, Login, Creation of User Profile | Login Credentials for various hierarchy of employees."
Desludging Service,"6 | Registration, Login, Creation of User Profile | Provision of Personalized Profile for Citizen/ Counter Employee",Table,"[Desludging Service] 6 | Registration, Login, Creation of User Profile | Provision of Personalized Profile for Citizen/ Counter Employee"
Desludging Service,"7 | Applying for emptying of septic tank / pit | Call center, Citizen and Counter Executive can apply for the desludging service",Table,"[Desludging Service] 7 | Applying for emptying of septic tank / pit | Call center, Citizen and Counter Executive can apply for the desludging service"
Desludging Service,8 | Entering Property ID | Property ID have to be added by the citizen so as to mark the septic tank with prior information like dimension etc and can be a best practice to follow a trend of periodic desludging.,Table,[Desludging Service] 8 | Entering Property ID | Property ID have to be added by the citizen so as to mark the septic tank with prior information like dimension etc and can be a best practice to follow a trend of periodic desludging.
Desludging Service,9 | Selection of property type | Different types of properties can be mapped as per centralized master data common for all States,Table,[Desludging Service] 9 | Selection of property type | Different types of properties can be mapped as per centralized master data common for all States
Desludging Service,10 | Selection of property sub-type | Different sub-types of properties can be mapped as per centralized master data common for all States,Table,[Desludging Service] 10 | Selection of property sub-type | Different sub-types of properties can be mapped as per centralized master data common for all States
Desludging Service,11 | Pin property location | Property location can be pinned using GIS integration with Centralized GIS provider at Central level in the implementation of Phase 3,Table,[Desludging Service] 11 | Pin property location | Property location can be pinned using GIS integration with Centralized GIS provider at Central level in the implementation of Phase 3
Desludging Service,"12 | Providing Pincode | Pincodes can be mapped as per the ULBs, Villages (GPs)",Table,"[Desludging Service] 12 | Providing Pincode | Pincodes can be mapped as per the ULBs, Villages (GPs)"
Desludging Service,"13 | Providing property address | Call center executive, Citizen and Counter Employee can provide property address eg. City, Locality, Zone, Block, Villages (GPs)",Table,"[Desludging Service] 13 | Providing property address | Call center executive, Citizen and Counter Employee can provide property address eg. City, Locality, Zone, Block, Villages (GPs)"
Desludging Service,14 | Slum area | Slum areas can be mapped and state can provide the exceptions and rebates based on the state rules and by-laws.,Table,[Desludging Service] 14 | Slum area | Slum areas can be mapped and state can provide the exceptions and rebates based on the state rules and by-laws.
Desludging Service,"15 | Property Location | Property address eg. Street name, Door/House No. a) Within ULB Limits b) From Gram Panchayat",Table,"[Desludging Service] 15 | Property Location | Property address eg. Street name, Door/House No. a) Within ULB Limits b) From Gram Panchayat"
Desludging Service,"16 | Landmark | Call center executive, Citizen or Counter Employee can provide landmark",Table,"[Desludging Service] 16 | Landmark | Call center executive, Citizen or Counter Employee can provide landmark"
Desludging Service,17 | Road Width | Citizen has to enter the road width so that the desludging/cesspool vehicle can be sent accordingly depending on the size as per the road.,Table,[Desludging Service] 17 | Road Width | Citizen has to enter the road width so that the desludging/cesspool vehicle can be sent accordingly depending on the size as per the road.
Desludging Service,18 | Distance from road | Citizen has to enter the distance from the road to the septic tank so that the desluging can be done without any obstruction.,Table,[Desludging Service] 18 | Distance from road | Citizen has to enter the distance from the road to the septic tank so that the desluging can be done without any obstruction.
Desludging Service,"19 | Pit type | Pit type can be choosed eg. Conventional Septic Tank, Septic Tank with Soak Pit etc",Table,"[Desludging Service] 19 | Pit type | Pit type can be choosed eg. Conventional Septic Tank, Septic Tank with Soak Pit etc"
Desludging Service,20 | Pit photos | Pit photos can be uploaded by the citizen,Table,[Desludging Service] 20 | Pit photos | Pit photos can be uploaded by the citizen
Desludging Service,21 | Partial Payment options | Advance and Final payment can be done by the citizen. Counter employee or the PSSOs can also collect the payment.,Table,[Desludging Service] 21 | Partial Payment options | Advance and Final payment can be done by the citizen. Counter employee or the PSSOs can also collect the payment.
Desludging Service,"22 | Summary page | Call center executive, Counter employee and Citizen can edit the application details before submitting the application",Table,"[Desludging Service] 22 | Summary page | Call center executive, Counter employee and Citizen can edit the application details before submitting the application"
Desludging Service,23 | Acknowledge Form | Acknowledgement form is generated and can be downloaded in the pdf format,Table,[Desludging Service] 23 | Acknowledge Form | Acknowledgement form is generated and can be downloaded in the pdf format
Desludging Service,"24 | Payment collection and receipts | Payment of service (Cheque, Cash, DD): on Counter Employee",Table,"[Desludging Service] 24 | Payment collection and receipts | Payment of service (Cheque, Cash, DD): on Counter Employee"
Desludging Service,"25 | Payment collection and receipts | Payment of service (Online, Net banking, Debit Card, Credit Card): Citizen",Table,"[Desludging Service] 25 | Payment collection and receipts | Payment of service (Online, Net banking, Debit Card, Credit Card): Citizen"
Desludging Service,26 | Payment collection and receipts | Citizen/CSC: Download Receipts for payments in pdf,Table,[Desludging Service] 26 | Payment collection and receipts | Citizen/CSC: Download Receipts for payments in pdf
Desludging Service,27 | My Application | Citizen can track the application,Table,[Desludging Service] 27 | My Application | Citizen can track the application
Desludging Service,28 | Application Timeline | Citizen and the counter employee can check the timeline where the application is present and to which employee it's pending or status of the application. They can also see the comments provided by the officails/employees.,Table,[Desludging Service] 28 | Application Timeline | Citizen and the counter employee can check the timeline where the application is present and to which employee it's pending or status of the application. They can also see the comments provided by the officails/employees.
Desludging Service,29 | General features | Notification,Table,[Desludging Service] 29 | General features | Notification
Desludging Service,30 | General features | SMS notification at every step where the application is forwarded,Table,[Desludging Service] 30 | General features | SMS notification at every step where the application is forwarded
Desludging Service,"31 | Configuration masters | There will be a common configurable rate master for the (ULB, Village (GPs))",Table,"[Desludging Service] 31 | Configuration masters | There will be a common configurable rate master for the (ULB, Village (GPs))"
Desludging Service,32 | Configuration masters | There will be configurable Charges & Calculation at the state level: Calculation Engine,Table,[Desludging Service] 32 | Configuration masters | There will be configurable Charges & Calculation at the state level: Calculation Engine
Desludging Service,"33 | Configuration masters | There will be a common State Masters: Property Ontology, Documents List, Employee Data Mapping, Boundary Data Mapping, standard workflows at the central level and can be filled by the states using a data entry form at the front end.",Table,"[Desludging Service] 33 | Configuration masters | There will be a common State Masters: Property Ontology, Documents List, Employee Data Mapping, Boundary Data Mapping, standard workflows at the central level and can be filled by the states using a data entry form at the front end."
Desludging Service,34 | Configuration masters | There will be a common Configurable Verification & Approval flow at the central level,Table,[Desludging Service] 34 | Configuration masters | There will be a common Configurable Verification & Approval flow at the central level
Desludging Service,35 | Employee Registry | Registration of employees will be done using a data entry form at the front end by the states,Table,[Desludging Service] 35 | Employee Registry | Registration of employees will be done using a data entry form at the front end by the states
Desludging Service,36 | PSSO Registry | Registration of the PSSO's will be done using a data entry form at the front end by the states,Table,[Desludging Service] 36 | PSSO Registry | Registration of the PSSO's will be done using a data entry form at the front end by the states
Desludging Service,"37 | Municipal Owned Equipment (MOE) | Registration of the Municipal Owned Equipment (MOE), will be done using a data entry form at the front end by the states",Table,"[Desludging Service] 37 | Municipal Owned Equipment (MOE) | Registration of the Municipal Owned Equipment (MOE), will be done using a data entry form at the front end by the states"
Desludging Service,38 | Vehicle Registry | Registration of the Vehicles will be done using a data entry form at the front end by the states,Table,[Desludging Service] 38 | Vehicle Registry | Registration of the Vehicles will be done using a data entry form at the front end by the states
Desludging Service,39 | Driver Registry | Registration of the drivers will be done using a data entry form at the front end by the states,Table,[Desludging Service] 39 | Driver Registry | Registration of the drivers will be done using a data entry form at the front end by the states
Desludging Service,40 | Data privacy | Protection of sensitive data,Table,[Desludging Service] 40 | Data privacy | Protection of sensitive data
Desludging Service,"41 | Editor | To make changes in the document adding details of the citizens if left any eg. adding dimensions, updating the trips etc.",Table,"[Desludging Service] 41 | Editor | To make changes in the document adding details of the citizens if left any eg. adding dimensions, updating the trips etc."
Desludging Service,42 | Editor | Assigning of the PSSO,Table,[Desludging Service] 42 | Editor | Assigning of the PSSO
Desludging Service,43 | PSSO Approval | PSSO will approve the request for the desludging,Table,[Desludging Service] 43 | PSSO Approval | PSSO will approve the request for the desludging
Desludging Service,44 | Vehicle Assignment | PSSO assigns the vehicle,Table,[Desludging Service] 44 | Vehicle Assignment | PSSO assigns the vehicle
Desludging Service,45 | Trip Scheduling | Trips are been updated by the PSSO as per the requirement,Table,[Desludging Service] 45 | Trip Scheduling | Trips are been updated by the PSSO as per the requirement
Desludging Service,46 | Re-assign PSSO | Employees can reassign to other PSSO in case the request has been rejected or declined by the PSSO for some reason,Table,[Desludging Service] 46 | Re-assign PSSO | Employees can reassign to other PSSO in case the request has been rejected or declined by the PSSO for some reason
